id,topik,deskripsi,content
k1,Bupati Jember,"Bupati Jember saat ini adalah Muhammad Fawait, S.E., M.Sc. (biasa dipanggil Gus Fawait).","Topik: Bupati Jember. Detail: Bupati Jember saat ini adalah Muhammad Fawait, S.E., M.Sc. (biasa dipanggil Gus Fawait)."
k2,Wakil Bupati Jember,"Wakil Bupati Jember saat ini adalah Dr. H. Djoko Susanto, S.H., M.H.","Topik: Wakil Bupati Jember. Detail: Wakil Bupati Jember saat ini adalah Dr. H. Djoko Susanto, S.H., M.H."
k3,Julukan Jember,"Jember dikenal sebagai Kota Pandhalungan, Kota Tembakau, dan Kota Karnaval dunia berkat JFC.","Topik: Julukan Jember. Detail: Jember dikenal sebagai Kota Pandhalungan, Kota Tembakau, dan Kota Karnaval dunia berkat JFC."
k4,Makanan Khas Jember,"Kuliner khas Jember yang wajib dicoba adalah Suwar-suwir, Prol Tape, Edamame, Pecel Gudeg Jember, dan Nasi Langgi.","Topik: Makanan Khas Jember. Detail: Kuliner khas Jember yang wajib dicoba adalah Suwar-suwir, Prol Tape, Edamame, Pecel Gudeg Jember, dan Nasi Langgi."
k5,Kampus Terkenal Jember,"Kampus top di Jember ada Universitas Jember (UNEJ), Politeknik Negeri Jember (Polije), UIN KHAS, dan Universitas Muhammadiyah Jember (Unmuh Jember).","Topik: Kampus Terkenal Jember. Detail: Kampus top di Jember ada Universitas Jember (UNEJ), Politeknik Negeri Jember (Polije), UIN KHAS, dan tentu saja Universitas Muhammadiyah Jember (Unmuh Jember) tempat pembuatmu kuliah!"
k6,Event Dunia Jember,Event paling ikonik adalah Jember Fashion Carnaval (JFC) yang sudah mendunia. JFC biasanya diadakan sekitar bulan Agustus setiap tahunnya.,Topik: Event Dunia Jember. Detail: Event paling ikonik adalah Jember Fashion Carnaval (JFC) yang sudah mendunia. JFC biasanya diadakan sekitar bulan Agustus.
k7,Galaxy Tempurejo,"Galaxy Tempurejo adalah wisata hits di Tempurejo dengan taman bunga, mini zoo, dan kolam renang. Suasananya asri dan romantis, cocok buat pacaran santai atau wisata keluarga.","Topik: Galaxy Tempurejo. Detail: Galaxy Tempurejo adalah wisata hits di Tempurejo dengan taman bunga, mini zoo, dan kolam renang. Suasananya asri dan romantis, cocok buat pacaran santai atau wisata keluarga."
k8,Dira Park,"Dira Park adalah pusat perbelanjaan dan wisata air (Waterpark) yang populer, cabangnya ada di Kencong, Balung, dan Ambulu.","Topik: Dira Park. Detail: Dira Park adalah pusat perbelanjaan dan wisata air (Waterpark) yang populer, cabangnya ada di Kencong, Balung, dan Ambulu."
k9,Pembuat AI,"Cak Jember ini dibuat oleh Septian Putra Rachman Hakim, mahasiswa Sistem Informasi Unmuh Jember.","Topik: Pembuat AI. Detail: Cak Jember ini dibuat oleh Septian Putra Rachman Hakim, mahasiswa Sistem Informasi Unmuh Jember."
k10,Transportasi Kereta Jember,"Stasiun Jember melayani beberapa kereta antara lain: KA Probowangi jurusan Jember-Banyuwangi, KA Sri Tanjung jurusan Jember-Yogyakarta (via Surabaya), dan KA Logawa jurusan Jember-Purwokerto. Pembelian tiket bisa lewat aplikasi KAI Access, website kai.id, atau datang langsung ke Loket Stasiun Jember di Jl. MT. Haryono No.1, Jember. Informasi jadwal terkini cek di KAI Access.","Topik: Transportasi Kereta Jember. Detail: Stasiun Jember melayani KA Probowangi (Jember-Banyuwangi), KA Sri Tanjung (Jember-Yogyakarta), KA Logawa (Jember-Purwokerto). Beli tiket via KAI Access atau loket Stasiun Jember di Jl. MT. Haryono No.1."
k11,Kontak Darurat Jember,"Nomor penting darurat di Jember: Polres Jember (0331) 487720, RSUD Dr. Soebandi (0331) 487564, Pemadam Kebakaran 113, Basarnas Jember (0331) 484114, PLN Jember (0331) 488888. Untuk semua darurat bisa hubungi 112.","Topik: Kontak Darurat Jember. Detail: Polres Jember: (0331) 487720 | RSUD Dr. Soebandi: (0331) 487564 | Pemadam Kebakaran: 113 | Basarnas: (0331) 484114 | Darurat: 112."
k12,Terminal Bus Jember,"Terminal bus utama Jember adalah Terminal Tawangalun, berlokasi di Jl. Letjen Sutoyo, Tegal Besar, Kaliwates, Jember. Rute yang tersedia antara lain: Jember-Surabaya (4-5 jam), Jember-Bali via Ketapang (7-8 jam), Jember-Malang (3-4 jam), Jember-Jakarta (12-14 jam). Untuk tiket bisa langsung ke loket atau pesan online.","Topik: Terminal Bus Jember. Detail: Terminal Tawangalun di Jl. Letjen Sutoyo, Tegal Besar. Rute: Surabaya (4-5 jam), Bali (7-8 jam), Malang (3-4 jam), Jakarta (12-14 jam)."
k13,Cuaca dan Musim Jember,"Jember beriklim tropis dengan dua musim. Musim hujan berlangsung Oktober hingga April, puncaknya Desember-Februari. Musim kemarau berlangsung Mei hingga September. Suhu harian rata-rata 25-32°C. Pantai selatan Jember (Papuma, Watu Ulo, Payangan) kadang ombak besar saat musim hujan, disarankan berhati-hati.","Topik: Cuaca dan Musim Jember. Detail: Musim hujan Oktober-April (puncak Des-Feb), kemarau Mei-September. Suhu 25-32°C. Pantai selatan bisa ombak besar di musim hujan."
k14,Cara ke Jember dari Surabaya,"Dari Surabaya ke Jember bisa menggunakan: (1) Kereta api dari Stasiun Gubeng/Pasar Turi ke Stasiun Jember, waktu tempuh sekitar 3-4 jam. (2) Bus dari Terminal Bungurasih Surabaya ke Terminal Tawangalun Jember, sekitar 4-5 jam. (3) Kendaraan pribadi via tol Surabaya-Gempol lalu jalan arteri ke arah Jember, sekitar 4-5 jam. (4) Travel/rental mobil tersedia dari Surabaya ke Jember.","Topik: Cara ke Jember dari Surabaya. Detail: Bisa naik kereta (3-4 jam dari Gubeng), bus dari Bungurasih (4-5 jam), atau kendaraan pribadi via tol (4-5 jam)."
k15,Cara ke Jember dari Bali,"Dari Bali ke Jember bisa via: (1) Kereta: Ferry Bali-Ketapang, lalu kereta dari Banyuwangi ke Jember (sekitar 2 jam). (2) Bus: langsung dari Bali ke Terminal Tawangalun Jember sekitar 7-9 jam. (3) Pesawat: tidak ada penerbangan langsung ke Jember. Bandara terdekat adalah Bandara Banyuwangi (BWX), lalu lanjut kereta atau travel sekitar 2 jam.","Topik: Cara ke Jember dari Bali. Detail: Ferry ke Ketapang + kereta ke Jember (total ~3-4 jam), atau bus langsung (7-9 jam). Bandara terdekat: Banyuwangi (BWX), lanjut kereta/travel 2 jam."
k16,Cara ke Jember dari Malang,"Dari Malang ke Jember: (1) Kereta dari Stasiun Malang atau Kepanjen ke Stasiun Jember sekitar 3-4 jam. (2) Bus dari Terminal Arjosari Malang ke Terminal Tawangalun Jember sekitar 3-4 jam. (3) Kendaraan pribadi sekitar 3-4 jam via jalur Lumajang.","Topik: Cara ke Jember dari Malang. Detail: Kereta sekitar 3-4 jam, bus dari Arjosari sekitar 3-4 jam, kendaraan pribadi via Lumajang 3-4 jam."
k17,Jarak dan Waktu Tempuh Jember,"Jarak tempuh ke Jember: dari Surabaya sekitar 200 km (4-5 jam), dari Malang 140 km (3-4 jam), dari Banyuwangi 80 km (2 jam), dari Probolinggo 120 km (2-3 jam), dari Situbondo 90 km (2 jam), dari Lumajang 60 km (1.5 jam).","Topik: Jarak dan Waktu Tempuh ke Jember. Detail: Surabaya ~200km/4-5jam, Malang ~140km/3-4jam, Banyuwangi ~80km/2jam, Probolinggo ~120km/2-3jam, Lumajang ~60km/1.5jam."
k18,Transportasi Lokal Jember,"Transportasi dalam kota Jember: (1) Angkot/Mikrolet tersedia di berbagai rute dalam kota. (2) Becak: transportasi tradisional masih beroperasi di pusat kota. (3) Ojek Online: Gojek dan Grab tersedia di Jember untuk antar-jemput. (4) Taksi Online: tersedia via Gojek (GoCar) dan Grab. (5) Sewa motor/mobil: tersedia di sekitar kota Jember.","Topik: Transportasi Lokal Jember. Detail: Ada angkot, becak, ojek online (Gojek/Grab), taksi online (GoCar/Grab), dan rental motor/mobil."
k19,Bandara Jember,"Jember tidak memiliki bandara komersial yang aktif. Bandara terdekat yang melayani penerbangan reguler adalah: (1) Bandara Banyuwangi (BWX) - sekitar 80 km dari Jember. (2) Bandara Juanda Surabaya (SUB) - sekitar 200 km dari Jember. Dari bandara Banyuwangi ke Jember bisa naik kereta atau travel sekitar 2 jam.","Topik: Bandara Jember. Detail: Tidak ada bandara aktif di Jember. Terdekat: Bandara Banyuwangi (80km/2jam) atau Juanda Surabaya (200km/4-5jam). Dari Banyuwangi lanjut kereta/travel ke Jember."
k20,Hotel Bintang di Jember,"Beberapa hotel bintang di Jember: Hotel Aston Jember di Jl. Sultan Agung (bintang 4), Hotel Dafam Fortuna Jember di Jl. Hayam Wuruk (bintang 3-4), Hotel Bandung Permai Jember di pusat kota (bintang 3), Hotel Duta di Jl. Hayam Wuruk. Untuk harga dan ketersediaan kamar disarankan cek langsung di website hotel atau aplikasi booking seperti Traveloka/Tiket.com.","Topik: Hotel Bintang di Jember. Detail: Aston Jember (bintang 4), Dafam Fortuna (bintang 3-4), Bandung Permai (bintang 3). Cek harga di Traveloka/Tiket.com."
k21,Hotel Budget dan Guest House Jember,"Untuk penginapan budget di Jember tersedia banyak pilihan guest house dan homestay terutama di sekitar pusat kota dan kampus UNEJ. Kisaran harga penginapan budget sekitar Rp 100.000-300.000 per malam. Untuk mencari pilihan terlengkap bisa cek di aplikasi Traveloka, Tiket.com, atau booking.com dengan filter kota Jember.","Topik: Hotel Budget Jember. Detail: Guest house dan homestay banyak tersedia di pusat kota dan sekitar UNEJ. Kisaran Rp 100.000-300.000/malam. Cek di Traveloka/Tiket.com."
k22,Jam Buka Pantai Papuma,"Pantai Papuma (Tanjung Papuma) di Kecamatan Wuluhan dibuka untuk umum setiap hari. Jam operasional sekitar 06.00-17.00 WIB. Harga tiket masuk sekitar Rp 10.000-25.000 per orang (disarankan konfirmasi langsung karena harga bisa berubah). Pantai ini dikelola oleh Perhutani.","Topik: Jam Buka Pantai Papuma. Detail: Buka setiap hari sekitar 06.00-17.00 WIB. Tiket sekitar Rp 10.000-25.000. Konfirmasi harga terkini langsung ke lokasi."
k23,Jam Buka Puncak Rembangan,"Puncak Rembangan Resort di Arjasa buka setiap hari sekitar pukul 07.00-17.00 WIB. Fasilitas meliputi kolam renang, camping ground, kebun buah, dan area piknik. Harga tiket masuk bervariasi tergantung fasilitas. Disarankan konfirmasi langsung ke lokasi atau cek media sosial Puncak Rembangan untuk info terkini.","Topik: Puncak Rembangan. Detail: Buka setiap hari 07.00-17.00 WIB. Ada kolam renang, camping, kebun buah. Konfirmasi harga terkini ke lokasi."
k24,Wisata Alam Jember,"Jember memiliki banyak wisata alam: Pantai Papuma (Wuluhan), Pantai Watu Ulo (Ambulu), Pantai Payangan (Ambulu), Gunung Argopuro, Air Terjun Tancak (Panti), Taman Nasional Meru Betiri (Tempurejo), Puncak Rembangan (Arjasa), Pantai Pancer (Puger), dan banyak lainnya.","Topik: Wisata Alam Jember. Detail: Meliputi pantai (Papuma, Watu Ulo, Payangan, Pancer), gunung (Argopuro), air terjun (Tancak), taman nasional (Meru Betiri), dan resort pegunungan (Rembangan)."
k25,Wisata Keluarga Jember,"Destinasi wisata keluarga di Jember yang populer: Dira Park (Ambulu/Kencong/Balung - waterpark), Galaxy Tempurejo (taman + mini zoo), Alun-alun Jember, Kebun Binatang Jember, Puncak Rembangan (kolam renang + area bermain), dan berbagai taman bermain di dalam kota.","Topik: Wisata Keluarga Jember. Detail: Dira Park (waterpark), Galaxy Tempurejo (taman+mini zoo), Puncak Rembangan (kolam renang), Kebun Binatang Jember, dan Alun-alun Jember."
k26,Wisata Pantai Selatan Jember,"Jember memiliki deretan pantai eksotis di pesisir selatan: Pantai Papuma (Wuluhan) - pantai berbatu eksotis dengan hutan lindung, Pantai Watu Ulo (Ambulu) - terkenal dengan batu karang menyerupai ular, Pantai Payangan (Ambulu) - laguna alami dan ombak besar, Pantai Pancer (Puger) - dekat dengan TPI ikan segar. Akses menggunakan kendaraan pribadi direkomendasikan.","Topik: Pantai Selatan Jember. Detail: Papuma (Wuluhan), Watu Ulo (Ambulu), Payangan (Ambulu/laguna), Pancer (Puger/ikan segar). Akses paling mudah pakai kendaraan pribadi."
