id,nama_wisata,kategori,kota,alamat,deskripsi,gambar,fitur,fitur_bersih,latitude,longitude,jam_buka,jam_tutup,rating,telepon,website,harga_tiket,sumber_data,tanggal_verifikasi
1,Puncak Rembangan Resort,Rekreasi,Jember,"Darungan, Kemuning Lor, Kec. Arjasa, Kabupaten Jember, Jawa Timur","Puncak Rembangan adalah destinasi wisata pegunungan di Jember yang menawarkan udara sejuk, panorama alam nan memesona, serta fasilitas lengkap seperti kolam renang, area bermain, camping ground, dan kebun buah (termasuk kebun naga). Lokasi di ketinggian sekitar 600–650 m dpl memungkinkan pengunjung menikmati pemandangan alam dan cahaya kota di malam hari. Cocok untuk healing, liburan keluarga, maupun piknik romantis.",assets/images/1.png,"Puncak Rembangan Resort Rekreasi Rekreasi Jember Darungan, Kemuning Lor, Kec. Arjasa, Kabupaten Jember, Jawa Timur Puncak Rembangan adalah destinasi wisata pegunungan di Jember yang menawarkan udara sejuk, panorama alam nan memesona, serta fasilitas lengkap seperti kolam renang, area bermain, camping ground, dan kebun buah (termasuk kebun naga). Lokasi di ketinggian sekitar 600–650 m dpl memungkinkan pengunjung menikmati pemandangan alam dan cahaya kota di malam hari. Cocok untuk healing, liburan keluarga, maupun piknik romantis.",puncak rembangan resort rekreasi rekreasi jember darungan kemuning lor kec arjasa kabupaten jember jawa timur puncak rembangan destinasi wisata pegunungan jember menawarkan udara sejuk panorama alam nan memesona fasilitas lengkap kolam renang area bermain camping ground kebun buah termasuk kebun naga lokasi ketinggian sekitar dpl memungkinkan pengunjung menikmati pemandangan alam cahaya kota malam hari cocok healing liburan keluarga maupun piknik romantis,-8.0933,113.6823,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 15.000,"Google Maps, Situs Resmi Pariwisata",2026-07-20
2,Pantai Watu Ulo,Pantai,Jember,"Sumberrejo, Kec. Ambulu, Kabupaten Jember, Jawa Timur 68172","Pantai Watu Ulo terkenal karena batu karang panjang yang menyerupai ular (watu = batu, ulo = ular) yang menjulur ke laut, menjadi ikon khas pantai ini. Terletak di pesisir selatan Jember, pantai ini menghadirkan perpaduan pasir gelap, laut yang biru kehijauan, serta latar bukit hijau. Selain berenang, pengunjung bisa menikmati suasana matahari terbit/terbenam, camping, dan wisata kuliner lokal di warung-warung pantai.",assets/images/2.png,"Pantai Watu Ulo Pantai Pantai Jember Sumberrejo, Kec. Ambulu, Kabupaten Jember, Jawa Timur 68172 Pantai Watu Ulo terkenal karena batu karang panjang yang menyerupai ular (watu = batu, ulo = ular) yang menjulur ke laut, menjadi ikon khas pantai ini. Terletak di pesisir selatan Jember, pantai ini menghadirkan perpaduan pasir gelap, laut yang biru kehijauan, serta latar bukit hijau. Selain berenang, pengunjung bisa menikmati suasana matahari terbit/terbenam, camping, dan wisata kuliner lokal di warung-warung pantai.",pantai watu ulo pantai pantai jember sumberrejo kec ambulu kabupaten jember jawa timur pantai watu ulo terkenal batu karang panjang menyerupai ular watu batu ulo ular menjulur laut menjadi ikon khas pantai terletak pesisir selatan jember pantai menghadirkan perpaduan pasir gelap laut biru kehijauan latar bukit hijau selain berenang pengunjung bisa menikmati suasana matahari terbit terbenam camping wisata kuliner lokal warung warung pantai,-8.3897,113.5786,Buka 24 jam,Buka 24 jam,[Unverified],[Unverified],[Unverified],Rp 10.000,"Google Maps, Traveloka",2026-07-20
3,Puslit Kopi & Kakao Indonesia,Agrowisata,Jember,"Puslitkoka Renteng, Gebang, Nogosari, Kec. Rambipuji, Kabupaten Jember, Jawa Timur 68175","Pusat Penelitian Kopi dan Kakao (Puslitkoka) ini adalah objek agrowisata di Jember yang memungkinkan pengunjung belajar langsung siklus budidaya kopi dan kakao — mulai dari biji, pemeliharaan tanaman, proses fermentasi, hingga pasca panen. Ada area kebun, jalur edukasi, serta demo proses pengolahan kopi lokal khas Jember.",assets/images/3.png,"Puslit Kopi & Kakao Indonesia Agrowisata Agrowisata Jember Puslitkoka Renteng, Gebang, Nogosari, Kec. Rambipuji, Kabupaten Jember, Jawa Timur 68175 Pusat Penelitian Kopi dan Kakao (Puslitkoka) ini adalah objek agrowisata di Jember yang memungkinkan pengunjung belajar langsung siklus budidaya kopi dan kakao — mulai dari biji, pemeliharaan tanaman, proses fermentasi, hingga pasca panen. Ada area kebun, jalur edukasi, serta demo proses pengolahan kopi lokal khas Jember.",puslit kopi kakao indonesia agrowisata agrowisata jember puslitkoka renteng gebang nogosari kec rambipuji kabupaten jember jawa timur pusat penelitian kopi kakao puslitkoka objek agrowisata jember memungkinkan pengunjung belajar langsung siklus budidaya kopi kakao mulai biji pemeliharaan tanaman proses fermentasi hingga pasca panen area kebun jalur edukasi demo proses pengolahan kopi lokal khas jember,-8.2341,113.619,08:00,15:00,[Unverified],[Unverified],[Unverified],Rp 20.000,"Google Maps, Situs Resmi Puslitkoka",2026-07-20
4,Bin Cigar,Edukasi,Jember,"Jl. Brawijaya No.3, Krajan, Jubung, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151","Bin Cigar adalah tempat edukasi/museum rokok/cigar (tergantung spesifikasi lokal) yang memperlihatkan sejarah industri tembakau di Jember, teknik pengolahan tembakau, ragam produk cigar, dan literatur terkait. Pengunjung dapat mengenal lebih jauh warisan budaya tembakau yang pernah menjadi sektor penting di daerah ini.",assets/images/4.png,"Bin Cigar Edukasi Edukasi Jember Jl. Brawijaya No.3, Krajan, Jubung, Kec. Sukorambi, Kabupaten Jember, Jawa Timur 68151 Bin Cigar adalah tempat edukasi/museum rokok/cigar (tergantung spesifikasi lokal) yang memperlihatkan sejarah industri tembakau di Jember, teknik pengolahan tembakau, ragam produk cigar, dan literatur terkait. Pengunjung dapat mengenal lebih jauh warisan budaya tembakau yang pernah menjadi sektor penting di daerah ini.",bin cigar edukasi edukasi jember jl brawijaya no krajan jubung kec sukorambi kabupaten jember jawa timur bin cigar tempat edukasi museum rokok cigar tergantung spesifikasi lokal memperlihatkan sejarah industri tembakau jember teknik pengolahan tembakau ragam produk cigar literatur terkait pengunjung mengenal lebih jauh warisan budaya tembakau pernah menjadi sektor penting daerah,-8.1755,113.6705,08:00,16:00,[Unverified],[Unverified],[Unverified],[Unverified],Google Maps,2026-07-20
5,Makam Habib Soleh Tanggul,Religi,Jember,"Krajan, Tanggul Kulon, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155","Makam Habib Soleh Tanggul adalah situs religi dan ziarah di Jember, tempat peristirahatan ulama besar yang dihormati masyarakat setempat. Selain sebagai tempat ibadah dan refleksi spiritual, kawasan ini sering digunakan untuk kegiatan keagamaan, ziarah massa, dan mempelajari warisan dakwah lokal.",assets/images/5.png,"Makam Habib Soleh Tanggul Religi Religi Jember Krajan, Tanggul Kulon, Kec. Tanggul, Kabupaten Jember, Jawa Timur 68155 Makam Habib Soleh Tanggul adalah situs religi dan ziarah di Jember, tempat peristirahatan ulama besar yang dihormati masyarakat setempat. Selain sebagai tempat ibadah dan refleksi spiritual, kawasan ini sering digunakan untuk kegiatan keagamaan, ziarah massa, dan mempelajari warisan dakwah lokal.",makam habib soleh tanggul religi religi jember krajan tanggul kulon kec tanggul kabupaten jember jawa timur makam habib soleh tanggul situs religi ziarah jember tempat peristirahatan ulama besar dihormati masyarakat setempat selain sebagai tempat ibadah refleksi spiritual kawasan sering digunakan kegiatan keagamaan ziarah massa mempelajari warisan dakwah lokal,-8.1634,113.4547,Buka 24 jam,Buka 24 jam,[Unverified],[Unverified],[Unverified],Rp 0,Google Maps,2026-07-20
6,Desa Wisata Sidomulyo,Rural Tourism,Jember,"Dusun Krajan RT.01/RW.01, Dusun Krajan, Sidomulyo, Kec. Silo, Kabupaten Jember, Jawa Timur 68118","Desa Wisata Sidomulyo menawarkan pengalaman kehidupan pedesaan Jawa secara autentik — mulai dari interaksi dengan aktivitas pertanian, rumah tradisional, seni dan budaya lokal, hingga suasana tenang alam pedesaan. Cocok bagi wisatawan yang ingin merasakan ketenangan, belajar budaya, dan menikmati alam pedesaan.",assets/images/6.png,"Desa Wisata Sidomulyo Rural Tourism Rural Tourism Jember Dusun Krajan RT.01/RW.01, Dusun Krajan, Sidomulyo, Kec. Silo, Kabupaten Jember, Jawa Timur 68118 Desa Wisata Sidomulyo menawarkan pengalaman kehidupan pedesaan Jawa secara autentik — mulai dari interaksi dengan aktivitas pertanian, rumah tradisional, seni dan budaya lokal, hingga suasana tenang alam pedesaan. Cocok bagi wisatawan yang ingin merasakan ketenangan, belajar budaya, dan menikmati alam pedesaan.",desa wisata sidomulyo rural tourism rural tourism jember dusun krajan rt rw dusun krajan sidomulyo kec silo kabupaten jember jawa timur desa wisata sidomulyo menawarkan pengalaman kehidupan pedesaan jawa secara autentik mulai interaksi aktivitas pertanian rumah tradisional seni budaya lokal hingga suasana tenang alam pedesaan cocok wisatawan ingin merasakan ketenangan belajar budaya menikmati alam pedesaan,-8.1256,113.8471,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 5.000,Google Maps,2026-07-20
7,Gunung Gambir,Agrowisata,Jember,"Lanasan RT 03, RW.023, Gelang, Kec. Sumberbaru, Kabupaten Jember, Jawa Timur 68156","Gunung Gambir adalah objek agrowisata dan alam di Jember di mana pengunjung bisa trekking ringan, menikmati udara segar, serta melihat panorama alam dari puncak. Daerah ini juga bisa menjadi lokasi edukasi tanaman, konservasi alam, atau piknik alam terbuka.",assets/images/7.png,"Gunung Gambir Agrowisata Agrowisata Jember Lanasan RT 03, RW.023, Gelang, Kec. Sumberbaru, Kabupaten Jember, Jawa Timur 68156 Gunung Gambir adalah objek agrowisata dan alam di Jember di mana pengunjung bisa trekking ringan, menikmati udara segar, serta melihat panorama alam dari puncak. Daerah ini juga bisa menjadi lokasi edukasi tanaman, konservasi alam, atau piknik alam terbuka.",gunung gambir agrowisata agrowisata jember lanasan rt rw gelang kec sumberbaru kabupaten jember jawa timur gunung gambir objek agrowisata alam jember mana pengunjung bisa trekking ringan menikmati udara segar melihat panorama alam puncak daerah bisa menjadi lokasi edukasi tanaman konservasi alam piknik alam terbuka,-8.0156,113.4372,07:00,16:00,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20
8,Pemandian Kebon Agung,Rekreasi,Jember,"Gebang Taman, Kb. Agung, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131","Pemandian Kebon Agung adalah tempat rekreasi air di tengah kota Jember, dengan kolam alami atau buatan yang dikelilingi pepohonan dan area hijau. Cocok untuk refreshing keluarga dan melepas penat di tengah suasana alam kota.",assets/images/8.png,"Pemandian Kebon Agung Rekreasi Rekreasi Jember Gebang Taman, Kb. Agung, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131 Pemandian Kebon Agung adalah tempat rekreasi air di tengah kota Jember, dengan kolam alami atau buatan yang dikelilingi pepohonan dan area hijau. Cocok untuk refreshing keluarga dan melepas penat di tengah suasana alam kota.",pemandian kebon agung rekreasi rekreasi jember gebang taman kb agung kec kaliwates kabupaten jember jawa timur pemandian kebon agung tempat rekreasi air tengah kota jember kolam alami buatan dikelilingi pepohonan area hijau cocok refreshing keluarga melepas penat tengah suasana alam kota,-8.1565,113.693,07:00,17:00,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20
9,Pantai Pancer,Pantai,Jember,"Manderan II, Puger Kulon, Kec. Puger, Kabupaten Jember, Jawa Timur 68164","Pantai Pancer merupakan pantai tenang di Jember dengan kombinasi pasir dan formasi batu, pemandangan laut lepas, serta suasana yang lebih sepi dibandingkan pantai populer, ideal untuk berjalan santai, memancing, menyaksikan sunrise/sunset, atau menikmati suasana pantai yang damai.",assets/images/9.png,"Pantai Pancer Pantai Pantai Jember Manderan II, Puger Kulon, Kec. Puger, Kabupaten Jember, Jawa Timur 68164 Pantai Pancer merupakan pantai tenang di Jember dengan kombinasi pasir dan formasi batu, pemandangan laut lepas, serta suasana yang lebih sepi dibandingkan pantai populer, ideal untuk berjalan santai, memancing, menyaksikan sunrise/sunset, atau menikmati suasana pantai yang damai.",pantai pancer pantai pantai jember manderan ii puger kulon kec puger kabupaten jember jawa timur pantai pancer merupakan pantai tenang jember kombinasi pasir formasi batu pemandangan laut lepas suasana lebih sepi dibandingkan pantai populer ideal berjalan santai memancing menyaksikan sunrise sunset menikmati suasana pantai damai,-8.3842,113.3855,Buka 24 jam,Buka 24 jam,[Unverified],[Unverified],[Unverified],Rp 10.000,Google Maps,2026-07-20
10,Jember Mini Zoo,Rekreasi,Jember,"Jl. Brawijaya, Komplek RedjoAgung, Tanjung, Mangli, Kaliwates, Jember Regency, East Java 68131","Jember Mini Zoo adalah kebun binatang skala kecil di kawasan kota Jember yang menampilkan koleksi hewan lokal dan domestik. Tempat ini cocok sebagai destinasi edukasi anak-anak, rekreasi keluarga, dan interaksi langsung dengan satwa ringan.",assets/images/10.png,"Jember Mini Zoo Rekreasi Rekreasi Jember Jl. Brawijaya, Komplek RedjoAgung, Tanjung, Mangli, Kaliwates, Jember Regency, East Java 68131 Jember Mini Zoo adalah kebun binatang skala kecil di kawasan kota Jember yang menampilkan koleksi hewan lokal dan domestik. Tempat ini cocok sebagai destinasi edukasi anak-anak, rekreasi keluarga, dan interaksi langsung dengan satwa ringan.",jember mini zoo rekreasi rekreasi jember jl brawijaya komplek redjoagung tanjung mangli kaliwates jember regency east java jember mini zoo kebun binatang skala kecil kawasan kota jember menampilkan koleksi hewan lokal domestik tempat cocok sebagai destinasi edukasi anak anak rekreasi keluarga interaksi langsung satwa ringan,-8.1963,113.6558,08:00,16:00,[Unverified],[Unverified],[Unverified],Rp 25.000,Situs Resmi Jember Mini Zoo,2026-07-20
